Serial number,Case no.,Slide number,Cells,Split,Area,Mean,Perim.,Circ.,Feret,MinFeret,AR,Round,Solidity,Nuclear_Size_Index,Irregularity_Index,Pleomorphism_Index,Feret_Ratio,NC_Compactness,Cluster,Grade,Grade_Label
378,2424,S1,C3,Validation,56.661,121.77,28.539,0.874,9.643,7.582,1.266,0.79,0.984,546.382023,0.126,0.26586,0.7862698330395105,1.1438877361814452,2,1,Well-differentiated
379,2424,S1,C4,Validation,27.443,134.113,20.481,0.822,8.048,4.899,1.647,0.607,0.935,220.861264,0.17800000000000005,0.647271,0.6087226640159046,1.2163564586348958,2,1,Well-differentiated
380,2424,S1,C5,Train,60.669,98.833,30.595,0.814,10.681,7.601,1.453,0.688,0.951,648.0055889999999,0.18600000000000005,0.4533360000000001,0.7116374871266736,1.2277903466334914,2,1,Well-differentiated
381,2424,S2,C1,Train,44.791,197.109,29.199,0.66,8.97,7.051,1.304,0.767,0.946,401.77527,0.33999999999999997,0.303832,0.7860646599777035,1.5147303720429555,2,1,Well-differentiated
382,2424,S2,C2,Validation,43.878,194.795,26.001,0.816,9.851,6.196,1.584,0.631,0.938,432.242178,0.18400000000000005,0.584496,0.6289716780022332,1.2260930049947238,2,1,Well-differentiated
383,2424,S2,C3,Train,34.443,204.704,24.694,0.71,9.368,5.084,1.856,0.539,0.936,322.662024,0.29000000000000004,0.8556159999999999,0.5426985482493595,1.4088736671512345,0,3,Poorly-differentiated
384,2424,S2,C4,Train,38.146,174.827,24.857,0.776,8.784,6.367,1.4,0.714,0.893,335.07446400000003,0.22399999999999998,0.40040000000000003,0.7248406193078324,1.2889573762486084,2,1,Well-differentiated
385,2424,S2,C5,Validation,45.958,153.497,26.662,0.812,10.282,5.903,1.78,0.562,0.948,472.54015599999997,0.18799999999999994,0.7796399999999999,0.574110095312196,1.2308764523042455,0,3,Poorly-differentiated
386,2424,S3,C1,Train,27.595,101.597,19.854,0.88,6.861,5.54,1.219,0.82,0.947,189.32929499999997,0.12,0.2194200000000001,0.8074624690278386,1.1367259452050809,2,1,Well-differentiated
387,2424,S3,C2,Train,39.262,98.227,24.432,0.827,8.288,6.639,1.245,0.803,0.942,325.403456,0.17300000000000004,0.24526499999999996,0.8010376447876448,1.209861777965779,2,1,Well-differentiated
388,2424,S3,C3,Validation,21.762,146.935,17.571,0.886,6.127,4.681,1.281,0.781,0.937,133.335774,0.11399999999999999,0.2805389999999999,0.7639954300636527,1.1289749024801132,2,1,Well-differentiated
389,2424,S3,C4,Train,29.827,97.253,22.432,0.745,7.554,5.18,1.446,0.691,0.952,225.31315800000002,0.255,0.44681400000000004,0.685729414879534,1.34250698606745,2,1,Well-differentiated
390,2424,S3,C5,Train,52.197,120.617,26.726,0.918,9.168,7.644,1.182,0.846,0.961,478.54209599999996,0.08199999999999996,0.18202800000000002,0.8337696335078535,1.0889614890943118,2,1,Well-differentiated
391,2424,S4,C1,Train,51.944,137.09,27.663,0.853,9.146,7.658,1.153,0.867,0.951,475.0798240000001,0.14700000000000002,0.153349,0.8373059260879072,1.1723392342305916,2,1,Well-differentiated
392,2424,S4,C2,Train,40.327,162.41,23.907,0.887,8.547,6.306,1.274,0.785,0.955,344.674869,0.11299999999999999,0.27391,0.7378027378027378,1.127831925088307,2,1,Well-differentiated
393,2424,S4,C3,Validation,51.792,142.215,29.671,0.739,9.009,7.737,1.113,0.898,0.948,466.594128,0.261,0.11352599999999997,0.8588078588078588,1.3526698843090343,2,1,Well-differentiated
394,2424,S4,C4,Train,42.154,130.981,26.565,0.751,10.848,5.574,1.959,0.51,0.938,457.28659200000004,0.249,0.95991,0.5138274336283185,1.3322047729144284,0,3,Poorly-differentiated
395,2424,S4,C5,Train,45.451,140.464,25.74,0.862,8.333,7.432,1.078,0.928,0.956,378.743183,0.138,0.07761599999999995,0.8918756750270012,1.1600154625164663,2,1,Well-differentiated
396,2424,S5,C1,Train,60.618,112.216,30.472,0.82,9.641,7.958,1.161,0.862,0.974,584.418138,0.18000000000000005,0.16021800000000003,0.825433046364485,1.2189627993822798,2,1,Well-differentiated
397,2424,S5,C2,Train,39.414,107.333,25.499,0.762,8.933,6.131,1.393,0.718,0.956,352.085262,0.238,0.39282600000000006,0.6863315795365499,1.3127617724991396,2,1,Well-differentiated
398,2424,S5,C3,Validation,45.451,125.114,26.203,0.832,9.703,6.495,1.514,0.661,0.932,441.011053,0.16800000000000004,0.513246,0.6693806039369268,1.2021225025351387,2,1,Well-differentiated
399,2424,S5,C4,Train,51.741,135.33,31.359,0.661,11.442,6.306,1.811,0.552,0.932,592.020522,0.33899999999999997,0.8113279999999999,0.5511274252753016,1.512445479241525,0,3,Poorly-differentiated
400,2424,S5,C5,Train,41.139,107.847,25.152,0.817,8.074,6.871,1.149,0.87,0.944,332.156286,0.18300000000000005,0.14937,0.8510032202130295,1.2237182979136365,2,1,Well-differentiated
401,2437,S1,C1,Train,29.523,159.928,20.8,0.857,7.382,5.431,1.368,0.731,0.966,217.938786,0.14300000000000002,0.36799200000000004,0.7357084800866974,1.1661551092246318,2,1,Well-differentiated
402,2437,S1,C2,Train,22.573,125.31,20.915,0.648,7.615,4.085,2.019,0.495,0.924,171.893395,0.352,1.019595,0.5364412344057781,1.5421143988648298,0,3,Poorly-differentiated
403,2437,S1,C3,Train,38.704,153.077,25.636,0.74,10.185,5.183,1.94,0.515,0.937,394.20024,0.26,0.9409,0.5088856161021109,1.3512472116656904,0,3,Poorly-differentiated
404,2437,S1,C4,Train,25.87,119.451,19.884,0.822,6.909,4.955,1.209,0.827,0.947,178.73583,0.17800000000000005,0.20915700000000007,0.7171804892169634,1.2161894064500578,2,1,Well-differentiated
