Serial number,Case no.,Slide number,Cells,Split,Area,Mean,Perim.,Circ.,Feret,MinFeret,AR,Round,Solidity,Nuclear_Size_Index,Irregularity_Index,Pleomorphism_Index,Feret_Ratio,NC_Compactness,Cluster,Grade,Grade_Label
540,2556,S3,C5,Train,181.803,109.608,56.436,0.717,17.53,14.414,1.095,0.913,0.928,3187.00659,0.28300000000000003,0.09526499999999996,0.8222475755847118,1.394124438087681,1,2,Moderately-differentiated
541,2556,S4,C1,Train,233.139,205.594,63.528,0.726,19.84,16.684,1.107,0.903,0.966,4625.47776,0.274,0.10737899999999997,0.8409274193548387,1.377544295543442,1,2,Moderately-differentiated
542,2556,S4,C2,Train,148.476,200.532,46.828,0.851,15.843,12.724,1.269,0.788,0.94,2352.305268,0.14900000000000002,0.26902799999999993,0.8031307201918829,1.175290149956638,2,1,Well-differentiated
544,2556,S4,C4,Train,124.838,130.584,46.156,0.736,15.105,11.103,1.4,0.714,0.952,1885.67799,0.264,0.40040000000000003,0.7350546176762661,1.3579996656482822,2,1,Well-differentiated
545,2556,S4,C5,Validation,91.612,163.435,38.598,0.773,12.404,9.741,1.267,0.789,0.959,1136.3552479999998,0.22699999999999998,0.26733699999999994,0.7853111899387294,1.2940986231203704,2,1,Well-differentiated
546,2556,S5,C1,Train,127.526,146.22,44.455,0.811,15.617,11.785,1.354,0.738,0.952,1991.573542,0.18899999999999995,0.35474800000000006,0.7546263687007747,1.2331974765906657,2,1,Well-differentiated
547,2556,S5,C2,Train,142.693,141.337,45.162,0.879,16.299,11.073,1.431,0.699,0.965,2325.753207,0.121,0.4307310000000001,0.6793668323210014,1.1374538894469046,2,1,Well-differentiated
548,2556,S5,C3,Train,179.571,147.121,52.848,0.808,17.179,14.101,1.202,0.832,0.955,3084.8502089999997,0.19199999999999995,0.20193600000000003,0.8208277548169277,1.2376876216589612,1,2,Moderately-differentiated
549,2556,S5,C4,Train,98.358,114.437,39.591,0.789,14.11,9.459,1.358,0.736,0.951,1387.83138,0.21099999999999997,0.35851200000000005,0.6703756201275691,1.268158069537308,2,1,Well-differentiated
550,2556,S5,C5,Train,296.749,174.873,80.326,0.578,22.943,17.568,1.235,0.81,0.946,6808.312307000001,0.42200000000000004,0.23464999999999994,0.7657237501634485,1.7302671145825856,1,2,Moderately-differentiated
551,2837,S1,C1,Train,140.816,142.576,46.756,0.809,17.123,10.852,1.625,0.615,0.952,2411.192368,0.19099999999999995,0.625625,0.6337674472931145,1.2354148923557444,2,1,Well-differentiated
552,2837,S1,C2,Train,42.255,134.215,26.584,0.751,8.7,6.339,1.382,0.724,0.957,367.6185,0.249,0.381432,0.7286206896551726,1.3309222528719333,2,1,Well-differentiated
553,2837,S1,C3,Train,61.835,99.446,29.913,0.868,10.545,7.883,1.277,0.783,0.953,652.050075,0.132,0.27710899999999994,0.7475580844001897,1.1515312090525622,2,1,Well-differentiated
554,2837,S1,C4,Validation,53.212,132.078,30.079,0.739,10.375,6.982,1.435,0.697,0.965,552.0745000000001,0.261,0.4348050000000001,0.6729638554216868,1.3530297348244873,2,1,Well-differentiated
555,2837,S1,C5,Validation,154.716,144.503,47.02,0.879,16.443,13.094,1.25,0.8,0.967,2543.9951880000003,0.121,0.24999999999999994,0.7963267043726813,1.137156287148669,1,2,Moderately-differentiated
556,2837,S2,C1,Train,218.276,150.761,57.247,0.837,19.135,14.837,1.255,0.797,0.963,4176.711260000001,0.16300000000000003,0.2547649999999999,0.7753854193885549,1.1947845958260932,1,2,Moderately-differentiated
557,2837,S2,C2,Validation,214.471,171.209,57.06,0.828,18.365,14.865,1.219,0.821,0.968,3938.7599149999996,0.17200000000000004,0.21820100000000006,0.8094200925673837,1.208050512363237,1,2,Moderately-differentiated
558,2837,S2,C3,Train,167.296,131.935,52.771,0.755,16.497,14.166,1.071,0.933,0.942,2759.882112,0.245,0.07175699999999995,0.8587015821058375,1.3246319526494719,1,2,Moderately-differentiated
559,2837,S2,C4,Train,124.381,137.46,45.794,0.745,15.5,11.183,1.331,0.751,0.958,1927.9055,0.255,0.33141899999999996,0.7214838709677419,1.341693301228234,2,1,Well-differentiated
560,2837,S2,C5,Train,91.46,122.287,37.267,0.828,13.26,9.464,1.446,0.691,0.953,1212.7595999999999,0.17200000000000004,0.44681400000000004,0.7137254901960784,1.208391900585789,2,1,Well-differentiated
561,2837,S3,C1,Train,222.587,129.914,62.064,0.726,20.115,14.64,1.301,0.769,0.934,4477.3375049999995,0.274,0.30053099999999994,0.7278150633855333,1.3771139077580223,1,2,Moderately-differentiated
562,2837,S3,C2,Validation,98.409,164.888,39.615,0.788,13.104,10.364,1.319,0.758,0.961,1289.551536,0.21199999999999997,0.319198,0.790903540903541,1.2690380323001045,2,1,Well-differentiated
563,2837,S3,C3,Train,40.125,141.311,26.069,0.742,8.764,6.757,1.375,0.727,0.908,351.65549999999996,0.258,0.375375,0.7709949794614331,1.347794980717994,2,1,Well-differentiated
564,2837,S3,C4,Train,349.86,113.509,72.357,0.84,24.882,19.01,1.286,0.778,0.964,8705.21652,0.16000000000000003,0.28549199999999997,0.764006108833695,1.1908496919356253,1,2,Moderately-differentiated
565,2837,S3,C5,Train,102.518,162.636,40.343,0.792,15.036,10.372,1.467,0.682,0.951,1541.460648,0.20799999999999996,0.466506,0.6898111199787178,1.263357873765456,2,1,Well-differentiated
566,2837,S4,C1,Train,141.476,150.16,46.774,0.813,15.257,12.838,1.155,0.866,0.969,2158.499332,0.18700000000000006,0.15477000000000002,0.841449826309235,1.2305985138003124,2,1,Well-differentiated
567,2837,S4,C2,Validation,83.546,150.863,35.635,0.827,13.198,8.352,1.627,0.615,0.958,1102.640108,0.17300000000000004,0.626395,0.6328231550234884,1.2095337763623317,2,1,Well-differentiated
568,2837,S4,C3,Validation,109.214,128.585,40.929,0.819,13.442,10.942,1.204,0.83,0.949,1468.054588,0.18100000000000005,0.20468000000000003,0.81401577146258,1.2206020361806327,2,1,Well-differentiated
569,2837,S4,C4,Train,103.025,125.233,40.023,0.808,13.514,10.592,1.248,0.801,0.944,1392.27985,0.19199999999999995,0.24835199999999993,0.7837797839277787,1.2372765747890635,2,1,Well-differentiated
570,2837,S4,C5,Train,81.416,148.733,34.368,0.866,12.909,8.072,1.567,0.638,0.963,1050.9991440000001,0.134,0.5672539999999999,0.6253001781702687,1.1544865929864887,2,1,Well-differentiated
571,2837,S5,C1,Train,76.901,142.418,35.191,0.78,12.717,8.44,1.572,0.636,0.933,977.950017,0.21999999999999997,0.572208,0.6636785405362899,1.281508127385791,2,1,Well-differentiated
572,2837,S5,C2,Train,57.93,172.813,30.762,0.769,11.396,6.532,1.762,0.568,0.958,660.17028,0.23099999999999998,0.7611840000000001,0.5731835731835732,1.2999173583949932,0,3,Poorly-differentiated
573,2837,S5,C3,Train,53.821,123.879,29.571,0.773,9.758,7.756,1.338,0.748,0.927,525.1853179999999,0.22699999999999998,0.33717600000000003,0.7948350071736012,1.2929162555731222,2,1,Well-differentiated
574,2837,S5,C4,Train,38.501,139.647,26.665,0.68,8.772,6.552,1.296,0.771,0.946,337.730772,0.31999999999999995,0.296784,0.746922024623803,1.4696073057446275,2,1,Well-differentiated
575,2837,S5,C5,Train,54.48,153.238,29.82,0.77,10.794,7.416,1.509,0.663,0.933,588.0571199999999,0.22999999999999998,0.5085329999999999,0.6870483602001112,1.298877863596453,2,1,Well-differentiated
